Is Highlight,Object ID,Department,Object Name,Title,Artist Display Name,Year,Tags
FALSE,36064,Asian Art,Fan mounted as an album leaf,南宋    佚名    冬景圖    團扇|Winter Landscape,Unidentified Artist,1279,Houses|Mountains|Landscapes|Trees
FALSE,51690,Asian Art,Fan mounted as an album leaf,,Unidentified Artist,1279,Boys|Men|Landscapes|Trees
FALSE,36033,Asian Art,Handscroll,宋/元   佚名   百牛圖   卷|One hundred water buffalo,Unidentified Artist|Jiangcan,1299,Buffalos|Landscapes
FALSE,39920,Asian Art,Handscroll,北宋  傳趙令穰  江村秋曉圖  卷|南宋   舊傳   趙令穰   江村秋曉圖   卷|River Village in Autumn Dawn  ,Zhao Lingrang,1299,Villages|Rivers|Landscapes|Trees
FALSE,40088,Asian Art,Fan mounted as an album leaf,南宋  佚名  舊傳閻次于  風雨維舟圖  團扇|Boats Moored in Wind and Rain,Unidentified Artist|Yan Ciyu,1299,Landscapes|Boats
FALSE,40197,Asian Art,Fan mounted as an album leaf,南宋   佚名   江邨圖   團扇|River Hamlet,Unidentified Artist,1299,Houses|Rivers|Mountains|Landscapes|Trees
FALSE,40508,Asian Art,Handscroll,"元  趙孟頫  雙松平遠圖  卷|Twin Pines, Level Distance",Zhao Mengfu,1310,Mountains|Landscapes|Trees
FALSE,45201,Asian Art,Hanging scroll,迎接曼荼羅  掛幅一幅  絹本著色|Descent and Return of Amida to Western Paradise with a Believer's Soul (Gōshō mandara),,1310,Landscapes|Buddhism|Buddha
FALSE,41194,Asian Art,Hanging scroll,元  唐棣  摩詰詩意圖  軸|Landscape after a poem by Wang Wei,Tang Di,1323,Landscapes|Trees
FALSE,53181,Asian Art,Handscroll fragment,神於寺縁起絵巻断簡|Scene from The Illustrated Legends of Jin’ōji Temple (Jin’ōji engi emaki),,1333,Landscapes|Men
FALSE,53186,Asian Art,Hanging scroll,春日宮曼荼羅|Mandala of Kasuga Shrine,,1333,Bodhisattvas|Landscapes|Buddhism|Buddha
FALSE,39548,Asian Art,Hanging scroll,元   張遜   石上松花圖   軸|Rocky Landscape with Pines,Zhang Xun,1345,Mountains|Landscapes|Trees
FALSE,41468,Asian Art,Handscroll,元  吳鎮  蘆灘釣艇圖  卷|Fisherman,Wu Zhen,1354,Fishing|Landscapes|Boats
FALSE,51392,Asian Art,Album leaf,清   佚名   （舊傳）張觀   月映松臺   冊頁|Moonlit Terrace,,1360,Landscapes|Human Figures
FALSE,36042,Asian Art,Handscroll,元   佚名（舊傳）陳容   雲行雨施圖   卷|Dragons and Landscape,Unidentified Artist,1368,Dragons|Landscapes|Trees
FALSE,45636,Asian Art,Hanging scroll,元  倪瓚  虞山林壑圖  軸|Woods and Valleys of Mount Yu,Ni Zan,1372,Mountains|Landscapes|Trees
FALSE,51490,Asian Art,Hanging scroll,,Ni Zan|Unidentified Artist,1374,Mountains|Landscapes|Trees
FALSE,45637,Asian Art,Hanging scroll,元   王蒙   丹崖翠壑圖   軸|Red Cliffs and Green Valleys,Wang Meng,1377,Landscapes|Men|Trees
FALSE,40106,Asian Art,Handscroll,元/明   佚名   舊傳 燕文貴   秋山蕭寺圖  軸|Buddhist Temples amid Autumn Mountains,Yan Wengui|Unidentified Artist,1399,Landscapes|Temples
FALSE,45647,Asian Art,Hanging scroll,元  趙原 (元)  晴川送客圖  軸|Farewell by a Stream on a Clear Day,Zhao Yuan,1399,Landscapes|Boats|Streams|Mountains
FALSE,45650,Asian Art,Handscroll,元/明   趙原   倣燕文貴范寬山水圖 元/明   沈巽竹石   合卷|Landscape,Zhao Yuan,1399,Houses|Mountains|Landscapes
FALSE,75591,Asian Art,Pillow,,Zhang Family Workshop,1399,Human Figures|Animals|Landscapes|Tigers
FALSE,65123,Asian Art,Handscroll,秋夜長物語絵巻|A Long Tale for an Autumn Night (Aki no yo nagamonogatari),Unidentified Artist,1410,Men|Landscapes
FALSE,45661,Asian Art,Handscroll,明    王紱    江山漁樂圖    卷|Joys of the Fisherman,Wang Fu,1420,Men|Fishing|Landscapes|Boats
FALSE,45643,Asian Art,Hanging scroll,,Shubun,1424,Landscapes|Trees
FALSE,45644,Asian Art,Hanging scroll,,Shubun,1424,Landscapes
FALSE,44451,Asian Art,Fan mounted as an album leaf,"元/明   佚名   舊傳趙雍   倣盛懋    蘇軾後赤壁賦圖    扇|Illustration of Su Shi's ""Second Ode on the Red Cliff""",Sheng Mou|Unidentified Artist,1433,Landscapes|Mountains|Trees|Boats
FALSE,45665,Asian Art,Fan mounted as an album leaf,明  佚名  樓閣江帆圖  團扇|Village and Temples in Jiangnan,Unidentified Artist,1433,Temples|Villages|Landscapes
TRUE,458967,Robert Lehman Collection,Painting,Saint Anthony the Abbot in the Wilderness,Osservanza Master,1438,Deer|Landscapes|Saints
FALSE,53223,Asian Art,Screens,山水図屏風|Landscape after Xia Gui,Tenshō Shūbun,1463,Mountains|Landscapes|Trees
FALSE,42346,Asian Art,Hanging scroll,賢江祥啓筆山水図|Landscape with Pavilion,Kenkō Shōkei|Tōgen Zuisen,1480,Houses|Mountains|Landscapes|Trees
FALSE,45675,Asian Art,Handscroll,明  姚綬  文飲圖  卷|Drinking and Composing Poetry,Yao Shou,1485,Men|Landscapes|Drinking
FALSE,435584,European Paintings,"Painting, predella panel",The Nativity,Antoniazzo Romano (Antonio di Benedetto Aquilio),1489,Donkeys|Sheep|Landscapes|Virgin Mary|Animals|Angels|Jesus|Nativity
FALSE,340468,Drawings and Prints,Drawing,Landscape (recto); Landscape (verso),Perugino (Pietro di Cristoforo Vannucci),1490,Landscapes|Trees
FALSE,36011,Asian Art,Handscroll,明   佚名   舊傳夏珪   長江萬里圖 卷 (前半卷) |First half of Ten Thousand Li of the Yangzi River,Xia Gui|Unidentified Artist,1499,Rivers|Mountains|Landscapes|Trees
FALSE,41471,Asian Art,Hanging scroll,明    呂紀    秋景花鳥圖    軸|Autumn Landscape with Herons and Ducks,Lü Ji,1499,Birds|Ducks|Landscapes
FALSE,45673,Asian Art,Handscroll,明  佚名  舊傳李唐  四時山水圖  卷|The Four Seasons,Li Tang|Unidentified Artist,1499,Landscapes|Mountains
FALSE,45692,Asian Art,Hanging scroll,,Kano Motonobu,1499,Landscapes
FALSE,343424,Drawings and Prints,Drawing,St. Jerome in a Landscape,"Anonymous, Italian, Venetian, 15th to 16th century",1500,Landscapes|Saint Jerome|Cross
FALSE,336232,Drawings and Prints,Print,Saint Eustace,Albrecht Dürer,1501,Men|Deer|Dogs|Horses|Saints|Landscapes|Crucifixion
FALSE,391105,Drawings and Prints,Print,Saint Eustace,Albrecht Dürer,1501,Men|Deer|Dogs|Horses|Landscapes|Saints
FALSE,391106,Drawings and Prints,Print,Saint Eustace,Albrecht Dürer,1501,Deer|Dogs|Horses|Landscapes|Saints|Men
FALSE,359763,Drawings and Prints,Print,Ganymede as a young boy riding a large eagle (Zeus) in flight above a landscape,Giulio Campagnola|Andrea Mantegna,1505,Eagles|Houses|Boys|Landscapes|Trees
FALSE,383708,Drawings and Prints,Print,The Stag-Hunt,Lucas Cranach the Elder,1506,Weapons|Men|Rivers|Landscapes|Trees|Soldiers|Hunting|Deer|Dogs|Coat of Arms
FALSE,50167,Asian Art,Hanging scrolls,明  杜堇  陶淵明菊花圖  軸|Tao Yuanming Enjoying Chrysanthemums,Du Jin,1509,Men|Landscapes|Trees
FALSE,51858,Asian Art,Album leaf,,Shen Zhou,1509,Human Figures|Landscapes|Autumn|Boats
FALSE,53601,Asian Art,Album leaf,,Shen Zhou,1509,Human Figures|Buildings|Mountains|Landscapes|Trees
FALSE,53602,Asian Art,Album leaf,,Shen Zhou,1509,Bridges|Men|Landscapes
FALSE,53603,Asian Art,Album leaf,,Shen Zhou,1509,Houses|Mountains|Landscapes|Trees|Boats
FALSE,45642,Asian Art,Hanging scroll,,Gakuo Zokyu,1510,Mountains|Landscapes|Trees|Boats
FALSE,50897,Asian Art,Hanging scrolls,해질녘 산사의 종소리 조선|煙寺暮鍾圖 朝鮮|Evening bell from mist-shrouded temple (left); Autumn moon over Lake Dongting (right),An Gyeon,1510,Scrolls|Hills|Landscapes
FALSE,648137,Drawings and Prints,Print,Leda and the Swan set in a landscape,Giovanni Battista Palumba|Nicoletto da Modena,1510,Leda|Swans|Landscapes|Trees
FALSE,340884,Drawings and Prints,Drawing,Landscape with a Goat,Titian (Tiziano Vecellio),1511,Houses|Goats|Landscapes
FALSE,364649,Drawings and Prints,Print,Abigail Before David,Lucas van Leyden,1512,Weapons|Horses|Landscapes|Trees|Soldiers|Swords|Horse Riding|Dogs|David
FALSE,372060,Drawings and Prints,Print,"Young shepherd seated in a landscape looking toward an old man in the lower right, buildings in the background and a tree and mountain at left",Giulio Campagnola|Giorgione,1512,Men|Mountains|Landscapes|Trees|Shepherds
FALSE,338149,Drawings and Prints,Drawing,Landscape (Wooded Approach to a Town),Fra Bartolomeo (Bartolomeo di Paolo del Fattorino),1513,Houses|Landscapes|Trees
FALSE,335039,Drawings and Prints,Drawing,Saint Barbara in a Landscape,"Anonymous, Swiss, 16th Century|Niklaus Manuel Deutsch",1515,Women|Landscapes|Trees|Saints
FALSE,359822,Drawings and Prints,Print,The Standard Bearer,Lucas van Leyden,1515,Men|Landscapes|Flags
FALSE,372054,Drawings and Prints,Print,"Saint John the Baptist standing in landscape, figures and buildings in the backgroud",Giulio Campagnola|Nicolò Nelli|Giorgione|Andrea Mantegna,1515,Landscapes|Saint John the Baptist
TRUE,437261,European Paintings,"Painting, triptych",The Penitence of Saint Jerome,Joachim Patinir,1515,Landscapes|Saint Jerome|Saint John the Baptist|Jesus|Baptism of Christ
FALSE,50168,Asian Art,Hanging scroll,明  史忠 （徐端本）  雪景山水   軸|Winter landscape with fisherman,Shi Zhong,1517,Men|Fishing|Landscapes|Trees|Boats
FALSE,372173,Drawings and Prints,Print,Nude woman (Venus) reclining in a landscape,Domenico Campagnola|Giulio Campagnola|Giorgione,1517,Female Nudes|Landscapes
FALSE,45752,Asian Art,Handscroll,,Tang Yin,1518,Bridges|Landscapes|Trees|Boats
FALSE,360204,Drawings and Prints,Print,Landscape with a Cannon,Albrecht Dürer,1518,Houses|Cannons|Men|Landscapes
FALSE,391223,Drawings and Prints,Print,Landscape with a Cannon,Albrecht Dürer,1518,Cannons|Men|Landscapes
FALSE,400842,Drawings and Prints,Print,A man carrying  sack striding to the left,Nicoletto da Modena,1520,Men|Landscapes|Working
FALSE,641082,Drawings and Prints,Drawing,Two Seated Figures in a Landscape with Mountains and a Town (recto); Sketch of a Landscape with Mountains and Buildings (verso),"Anonymous, Italian, Venetian, 16th century",1520,Towns|Men|Women|Landscapes|Trees
FALSE,372063,Drawings and Prints,Print,At left four shepherds with musical instruments seated under a group of trees; at right a hilly landscape with buildings,Giulio Campagnola|Domenico Campagnola,1522,Musical Instruments|Buildings|Men|Landscapes|Shepherds
FALSE,459432,Robert Lehman Collection,Drawing,"Mountainous Landscape with a Rock, Trees, and Buildings",Domenico Campagnola,1523,Landscapes
FALSE,36093,Asian Art,Hanging scroll,,Tang Yin,1524,Landscapes|Trees|Boats
FALSE,45772,Asian Art,Folding fan mounted as an album leaf,,Tang Yin,1524,Men|Landscapes|Pavilions|Waterfalls|Mountains
FALSE,45773,Asian Art,Album leaves mounted as a handscroll,,Tang Yin,1524,Human Figures|Landscapes|Boats
FALSE,663542,Drawings and Prints,Print,"Hercules and the Hydra; wielding a torch he attacks the winged, multi-headed Hydra in rocky landscape, a hawk attacks a heron in the sky",Cristofano di Michele Martini (Il Robetta)|Antonio Pollaiuolo,1525,Hawks|Hercules|Landscapes
TRUE,336259,Drawings and Prints,Print,Landscape with a Double Spruce,Albrecht Altdorfer,1527,Landscapes
FALSE,342513,Drawings and Prints,Print,"Battle scene in a landscape with soldiers on horseback and several fallen men, another group of riders in the background",Giulio Romano|Marco Dente|Raphael (Raffaello Sanzio or Santi),1527,Battles|Soldiers|Weapons|Horse Riding|Landscapes
FALSE,387571,Drawings and Prints,Print,The Ecstasy of Saint Mary Magdalen,Albrecht Dürer,1528,Landscapes|Angels|Mary Magdalene
FALSE,388160,Drawings and Prints,Print,The Knight on the Horseback with Lansquenet,Albrecht Dürer,1528,Animals|Men|Horse Riding|Landscapes|Knights
FALSE,388463,Drawings and Prints,Print,"Gerson as a Pilgrim, frontispiece to Gersonis Opera, 1489",Albrecht Dürer,1528,Buildings|Shields|Landscapes|Men|Dogs
FALSE,342506,Drawings and Prints,Print,"Fortitude in profile view walking toward a fire at left and leading a harnessed lion, a landscape in the background",Raphael (Raffaello Sanzio or Santi)|Marco Dente|Tommaso Vincidor (Tommaso di Andrea)|Antonio Salamanca,1532,Women|Lions|Fire|Landscapes
FALSE,36012,Asian Art,Hanging scroll,,Unidentified Artist,1533,Landscapes|Autumn
FALSE,39888,Asian Art,Hanging scroll,모래밭에 내려앉는 기러기 조선|平沙落雁圖 朝鮮|Wild geese descending to sandbar,Unidentified Artist,1533,Rivers|Landscapes|Mountains
FALSE,42344,Asian Art,Painting,相阿弥筆  四季山水図 （瀟湘八景）|Landscape of the Four Seasons (Eight Views of the Xiao and Xiang Rivers),Sōami,1533,Mountains|Landscapes|Trees
FALSE,53226,Asian Art,Hanging scrolls,鑑貞筆　瀟湘八景中の二景図|Two Views from the Eight Views of the Xiao and Xiang Rivers,Kantei,1533,Rivers|Mountains|Landscapes
FALSE,53228,Asian Art,Hanging scroll,牧松周省筆   破墨山水図|Splashed-Ink Landscape,Bokushō Shūshō,1533,Landscapes|Trees
FALSE,816194,Asian Art,Hanging scroll,水墨山水図|Ink Landscape （Suiboku sansui zu）,Sōami,1533,Landscapes
FALSE,201653,European Sculpture and Decorative Arts,Bowl,Bowl with St. Jerome and lion in a landscape,,1535,Lions|Landscapes|Saint Jerome|Bowls
TRUE,337487,Drawings and Prints,Drawing,"Otto, Count of Nassau and his Wife Adelheid van Vianen",Bernard van Orley,1535,Landscapes|Men|Women|Horse Riding|Coat of Arms
FALSE,459423,Robert Lehman Collection,Drawing,Landscape with Figure,The Veneto,1535,Landscapes
FALSE,429728,Drawings and Prints,Print,The Virgin with the Blessing Child in a Landscape,Albrecht Altdorfer,1538,Landscapes|Christ|Madonna and Child|Virgin Mary
FALSE,430111,Drawings and Prints,Print,"""The Beautiful Virgin of Regensburg"" Seated in a Landscape",Albrecht Altdorfer,1538,Landscapes|Virgin Mary|Jesus
FALSE,430199,Drawings and Prints,Print,Facsimile Reproduction of Landscape with a Double Spruce,Albrecht Altdorfer|Alfred Stix|Artur Wolf,1538,Landscapes|Trees
FALSE,53233,Asian Art,Hanging scroll,狩野派　伯牙鍾子期図|Bo Ya Plays the Qin as Zhong Ziqi Listens,Kano Motonobu,1539,Human Figures|Musical Instruments|Men|Landscapes|Trees
FALSE,338188,Drawings and Prints,Drawing,Landscape with Catacombs,Domenico Beccafumi,1540,Architecture|Arches|Landscapes
FALSE,372176,Drawings and Prints,Print,Landscape with Saint Jerome at left looking towards lion and bear  fighting at center; two figures with mule in the background,Domenico Campagnola,1540,Bears|Lions|Mountains|Landscapes|Saint Jerome
FALSE,400008,Drawings and Prints,Print,Landscape with a milkmaid at right and a boy at left,Titian (Tiziano Vecellio)|Nicolò Boldrini,1540,Boys|Men|Cows|Goats|Landscapes
FALSE,459433,Robert Lehman Collection,Drawing,Landscape with a Satyr,Domenico Campagnola,1540,Satyrs|Landscapes
FALSE,44601,Asian Art,Handscroll,明  文徵明  叢桂齋圖  卷|The Cassia Grove Studio,Wen Zhengming,1542,Human Figures|Landscapes|Trees
FALSE,39536,Asian Art,Hanging scroll,明  文徵明 樓居圖軸|Living Aloft: Master Liu's Retreat,Wen Zhengming,1543,Houses|Landscapes|Trees
FALSE,459275,Robert Lehman Collection,Drawing,Imaginary Landscape,Hanns Lautensack,1543,Landscapes
FALSE,42187,Asian Art,Handscroll,,Chen Chun,1544,Houses|Rivers|Landscapes|Trees
FALSE,336260,Drawings and Prints,Print,Landscape with Four Trees and a Church at Right,Augustin Hirschvogel,1545,Arches|Churches|Landscapes|Trees
FALSE,336261,Drawings and Prints,Print,Landscape with Four Trees and a Church at Right (counterproof),Augustin Hirschvogel,1545,Arches|Churches|Landscapes|Trees
FALSE,336740,Drawings and Prints,Print,"Landscape from ""Venus Pushing Cupid"" frame",Antonio Fantuzzi|Rosso Fiorentino,1545,Houses|Hills|Landscapes
FALSE,372182,Drawings and Prints,Print,"Landscape with family walking together in the foreground, at left two figures with herd of goats and sheep; a mill (?) and other buildings in the background",Domenico Campagnola,1545,Landscapes
FALSE,372188,Drawings and Prints,Print,Landscape with a woman seated next to a man playing a hurdy-gurdy,Domenico Campagnola,1545,Musical Instruments|Men|Women|Landscapes|Trees
FALSE,408543,Drawings and Prints,Print,Landscape,Augustin Hirschvogel,1545,Bridges|Mountains|Landscapes|Trees
FALSE,408545,Drawings and Prints,Print,Landscape with Fort and a Church on a River,Augustin Hirschvogel,1545,Castles|Churches|Rivers|Landscapes
FALSE,416794,Drawings and Prints,Print,"The Sixth of Ten Commandments, from Die zehe gebot",Johann Grüninger|Hans Baldung (called Hans Baldung Grien),1545,Couples|Men|Women|Landscapes
FALSE,437010,European Paintings,Painting,The Arrival in Bethlehem,Master LC,1545,Rivers|Landscapes|Saint Joseph|Virgin Mary|Jesus|Nativity
FALSE,201708,European Sculpture and Decorative Arts,Plaquette,Ate and the Litai,Peter Flötner,1546,Landscapes|Men|Women
FALSE,359780,Drawings and Prints,Print,River Landscape with Large Tree at Left,Augustin Hirschvogel,1546,Houses|Bridges|Bodies of Water|Landscapes|Trees
FALSE,408546,Drawings and Prints,Print,Landscape with High Rocks and Fortresses,Augustin Hirschvogel,1546,Fortification|Landscapes
FALSE,335179,Drawings and Prints,Drawing,Landscape with a Town by the Seashore and Mountains in the Distance,Matthijs Cock,1548,Buildings|Towns|Mountains|Landscapes|Trees
FALSE,335180,Drawings and Prints,Drawing,Landscape with a Walled City and a Large Body of Water,Matthijs Cock,1548,Cities|Bodies of Water|Landscapes|Trees|Boats
FALSE,45680,Asian Art,Handscroll,明  傳蔣嵩  冬景山水圖  卷|Winter Landscape,Jiang Song,1549,Landscapes|Trees|Winter|Snow
FALSE,198790,European Sculpture and Decorative Arts,Cistern,Cistern,Orazio Fontana,1550,Male Nudes|Female Nudes|Horses|Landscapes
FALSE,365896,Drawings and Prints,Print,Landscape in a Frame,"Anonymous, French, School of Fontainebleau, 16th century",1550,Male Nudes|Female Nudes|Bodies of Water|Landscapes
FALSE,365899,Drawings and Prints,Print,Oval landscape in an ornate frame,"Anonymous, French, School of Fontainebleau, 16th century",1550,Male Nudes|Female Nudes|Landscapes
FALSE,437821,European Paintings,Painting,The Miracle of the Loaves and Fishes,Jacopo Tintoretto (Jacopo Robusti),1550,Bread|Men|Women|Dogs|Fish|Landscapes|Christ
FALSE,697359,Drawings and Prints,Print,At Nympharum Hecates Scapulis Timor Addidit  Alas,Léon Davent,1550,Nymphs|Landscapes|Trees
FALSE,697363,Drawings and Prints,Print,"Landscape with ruins, courtiers, and a gondola",Léon Davent,1550,Human Figures|Ruins|Bodies of Water|Landscapes|Boats
FALSE,726150,Drawings and Prints,,The Abduction of Hieronymus Paumgartner,Matthias Zündt,1550,Men|Horse Riding|Landscapes
FALSE,738106,European Sculpture and Decorative Arts,Charger,Dish with a Landscape,Jacopo da Pesaro,1550,Buildings|Landscapes
FALSE,408510,Drawings and Prints,Print,Landscape,Hanns Lautensack,1553,Architecture|Landscapes|Trees
FALSE,408511,Drawings and Prints,Print,Landscape with a Castle Perched on a Rock,Hanns Lautensack,1553,Buildings|Landscapes
FALSE,408528,Drawings and Prints,Print,Landscape with a High Rock and a Castle at Left,Augustin Hirschvogel,1553,Architecture|Towns|Landscapes
FALSE,408623,Drawings and Prints,Book Prints Ornament & Architecture,"Horizontal Landscape with the remains of the Nymphaeum, mistakenly identified as the Temple of Minerva Medica in Rome, from the series 'Ruinarum variarum fabricarum delineationes pictoribus caeterisque id genus artificibus multum utiles'",Gerard de Jode|Lambert Suavius,1554,Ruins|Landscapes|Plants
FALSE,197230,European Sculpture and Decorative Arts,Dish,Dish with Jacob's Dream,Orazio Fontana|Guido Fontana|Sebald Beham,1555,Angels|Men|Landscapes
FALSE,726157,Drawings and Prints,,Satyrs in a Landscape (after Titian),Anonymous,1555,Satyrs|Forests|Landscapes
FALSE,338695,Drawings and Prints,Print,The Penitent Magdalene (Magdalena Poenitens) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1556,Roads|Rivers|Mountains|Landscapes|Trees
FALSE,660338,Drawings and Prints,Books Prints Ornament & Architecture,"La Gloria et l'Honore di Ponti Tagliati, E Ponti in Aere, title page (recto)",Matteo Pagano,1556,Books|Women|Landscapes|Working
FALSE,697368,Drawings and Prints,Print,Landscape with Arched Tomb and an Obelisk,Léon Davent,1556,Arches|Obelisks|Tombs|Landscapes
FALSE,697379,Drawings and Prints,Print,A Man Armed with a Saber Gestures Toward a Fleeing Woman,Léon Davent,1556,Men|Women|Landscapes|Trees
FALSE,377279,Drawings and Prints,Print,Landscape with a Horseman and His Groom,Battista Franco|Titian (Tiziano Vecellio),1557,Buildings|Men|Horses|Landscapes|Trees
FALSE,36019,Asian Art,Handscroll,,Wen Boren,1558,Mountains|Landscapes|Trees
FALSE,408618,Drawings and Prints,Print,Abraham and Isaac on the way to Sacrifice,Hieronymus Cock|Matthijs Cock,1558,Landscapes|Abraham
FALSE,418259,Drawings and Prints,Print,Tobit from Landscapes with Biblical and Mythological Scenes,Hieronymus Cock,1558,Buildings|Men|Hills|Landscapes|Trees
FALSE,36103,Asian Art,Album,,Wen Zhengming,1559,Houses|Landscapes|Trees
FALSE,376471,Drawings and Prints,Print,Landscape with the Temptation of Christ,Hieronymus Cock|Pieter Bruegel the Elder,1559,Landscapes|Christ
FALSE,75250,Asian Art,Hanging scrolls,明      謝時臣      四時佳興圖      軸 四幅|Landscapes of the Four Seasons,Xie Shichen,1560,Houses|Horse Riding|Landscapes|Trees|Boats
FALSE,336716,Drawings and Prints,Drawing,Apollo and Galatea in a Landscape with Neptune and Three Nymphs,Orazio Samacchini,1560,Apollo|Galatea|Nymphs|Neptune|Landscapes
FALSE,336741,Drawings and Prints,Print,Landscape with Ornamental Frame,Antonio Fantuzzi|Rosso Fiorentino,1560,Male Nudes|Bodies of Water|Landscapes|Boats
FALSE,337342,Drawings and Prints,Print,Rustic Market (Nundinae Rusticorum) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Human Figures|Animals|Mountains|Landscapes|Trees
FALSE,337344,Drawings and Prints,Print,Soldiers at Rest (Milites Requiescentes) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Houses|Soldiers|Mountains|Landscapes|Trees
FALSE,343425,Drawings and Prints,Drawing,Saint Jerome Praying in a Landscape.,Niccolò dell' Abate,1560,Landscapes|Saint Jerome
FALSE,343658,Drawings and Prints,Print,Rustic Market (Nundinae Rusticorum) from The Large Landscapes,Pieter Bruegel the Elder|Hieronymus Cock|Johannes van Doetecum I|Lucas van Doetecum,1560,Human Figures|Animals|Landscapes|Trees
FALSE,358310,Drawings and Prints,Print,St. Jerome in the Wilderness (S. Hieronymus in Deserto) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Buildings|Lions|Landscapes|Trees|Saint Jerome
FALSE,415671,Drawings and Prints,Print,The Crafty Bird-Catcher (Insidiosus auceps) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Mountains|Landscapes
FALSE,415672,Drawings and Prints,Print,View of the Tiber (Tivoli) (Prospectus Tyburtinus) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Buildings|Landscapes
FALSE,415674,Drawings and Prints,Print,Rustic Solicitude (Solicitudo rustica) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Bodies of Water|Mountains|Landscapes|Trees
FALSE,415675,Drawings and Prints,Print,The Crafty Bird-Catcher (Insidiosus auceps) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Hills|Landscapes
FALSE,415676,Drawings and Prints,Print,Soldiers at Rest (Milites requiescentes) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Buildings|Soldiers|Men|Landscapes|Trees
FALSE,415677,Drawings and Prints,Print,St. Jerome in the Wilderness (S. Hieronymus in Deserto) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Landscapes|Trees
FALSE,415679,Drawings and Prints,Print,The Belgian Wagon (Plaustrum Belgicum) from The Large Landscapes,Pieter Bruegel the Elder|Johannes van Doetecum I|Lucas van Doetecum|Hieronymus Cock,1560,Buildings|Mountains|Landscapes|Cross|Carriages
